City,AQI,PM2.5/1h,PM10/h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,31,5,6,0.27,1,53,60,8
阿克苏地区,159,73,265,0.6,15,93,60,6
阿拉善盟,58,24,48,0.53,9,122,108,9
阿勒泰地区,35,7,20,0.5,5,72,69,2
阿里地区,59,7,30,0.1,9,130,109,10
安康,27,5,18,0.57,10,44,53,4
安庆,23,13,13,0.48,23,45,45,16
鞍山,69,49,76,1.37,36,108,116,13
安顺,30,14,22,0.38,4,58,58,4
安阳,45,22,44,0.7,21,63,75,9
白城,68,24,83,0.9,32,106,110,11
百色,42,23,37,0.8,12,85,83,10
白山,37,11,28,0.6,29,49,73,8
白银,55,18,57,0.7,17,75,80,32
保定,55,34,58,0.42,28,94,91,8
宝鸡,45,31,44,0.78,27,38,35,2
保山,29,4,19,0.95,10,39,56,5
包头,45,26,44,0.82,27,73,71,11
巴彦淖尔,44,9,25,0.63,12,88,86,4
巴中,24,8,18,0.6,14,54,47,2
北海,43,14,31,0.63,12,86,85,8
北京,67,48,73,0.7,29,87,83,5
蚌埠,33,16,30,0.5,29,53,65,13
本溪,49,22,43,1.12,17,86,96,11
毕节,55,30,57,0.7,21,35,52,7
滨州,87,43,62,1.17,30,140,143,21
博州,28,10,27,0.55,5,50,54,4
亳州,41,27,40,0.6,16,68,68,8
沧州,59,36,65,0.47,37,94,106,16
长春,71,30,90,1.11,35,118,118,14
常德,28,15,27,0.8,11,43,42,8
昌都,37,8,23,0.85,16,82,72,5
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,33,11,13,1.1,23,49,65,5
长沙,20,12,18,0.64,23,44,39,8
常熟,66,30,80,0.9,47,39,45,19
长治,40,24,39,1.14,22,64,72,9
常州,37,20,36,0.76,47,31,32,12
朝阳,68,21,58,1.0,27,111,120,14
潮州,61,22,54,0.77,11,129,111,11
承德,52,19,48,0.36,26,90,101,12
成都,31,18,29,0.6,34,58,60,8
郴州,37,18,36,1.16,18,58,44,9
赤峰,56,22,59,0.5,16,98,98,14
池州,40,21,39,0.8,48,29,31,12
重庆,18,7,12,0.91,34,19,19,6
崇左,36,5,15,0.65,5,84,71,3
楚雄州,31,5,16,0.6,7,68,61,8
滁州,41,9,24,0.47,34,68,80,10
大连,73,12,26,0.78,16,127,126,9
大理州,29,18,23,0.45,13,60,56,5
丹东,48,28,47,0.85,53,46,82,10
大庆,64,25,76,1.0,73,62,90,10
大同,43,19,36,0.85,23,83,84,44
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,35,5,20,0.8,23,54,69,27
达州,26,8,20,0.72,36,42,51,11
德宏州,34,12,14,0.45,7,43,66,6
德阳,53,25,53,0.8,26,26,64,5
德州,56,25,59,1.1,31,92,93,5
定西,28,12,24,0.5,27,47,55,5
迪庆州,35,0,29,0.6,10,71,69,12
东莞,67,24,36,0.8,17,107,119,9
东营,71,42,88,0.8,34,109,124,21
鄂尔多斯,45,13,28,0.92,14,93,89,5
恩施州,21,13,20,1.2,29,15,22,4
鄂州,22,11,21,0.8,23,22,22,5
防城港,45,20,33,1.03,23,69,88,13
佛山,71,31,52,0.73,26,120,124,5
抚顺,60,32,68,0.82,32,88,104,19
阜新,78,21,90,0.68,27,118,132,15
阜阳,39,14,26,0.43,28,65,76,8
富阳,62,39,72,0.7,47,26,34,10
福州,43,21,40,0.75,20,75,85,6
抚州,43,30,38,0.84,7,41,38,8
甘南州,32,7,16,0.8,16,64,62,13
赣州,43,30,39,1.16,14,69,66,10
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,42,14,18,0.35,9,83,83,18
广安,25,13,21,0.8,10,55,48,5
广元,23,14,22,1.02,31,11,21,20
